state,population,n_killed,n_injured,adj_killings,adj_injuries,Total Incidents,normalized_killings,normalized_injuries,adj_killings_million,adj_injured_million,adj_total_million
District of Columbia,693972,459,1415,66.14099704,203.8987164,270.0397134,0.00066141,0.002038987,661.4099704,2038.987164,2700.397134
Louisiana,4684333,2179,4398,46.5167613,93.88743285,140.4041942,0.000465168,0.000938874,465.167613,938.8743285,1404.041942
Illinois,12802023,3409,13514,26.62860393,105.5614413,132.1900452,0.000266286,0.001055614,266.2860393,1055.614413,1321.900453
Delaware,961939,217,853,22.55860299,88.67506152,111.2336645,0.000225586,0.000886751,225.5860299,886.7506152,1112.336645
Mississippi,2984100,1176,1883,39.408867,63.10110251,102.5099695,0.000394089,0.000631011,394.08867,631.0110251,1025.099695
Alabama,4874747,1880,2998,38.56610405,61.50062762,100.0667317,0.000385661,0.000615006,385.6610405,615.0062762,1000.667317
Tennessee,6715984,1824,4478,27.15908793,66.67675206,93.83583999,0.000271591,0.000666768,271.5908793,666.7675206,938.3583999
Missouri,6113532,2136,3585,34.93888639,58.64040623,93.57929262,0.000349389,0.000586404,349.3888639,586.4040623,935.7929262
South Carolina,5024369,1610,3084,32.04382481,61.38084205,93.42466686,0.000320438,0.000613808,320.4382481,613.8084205,934.2466686
Maryland,6052177,1691,3167,27.94035931,52.32827791,80.26863722,0.000279404,0.000523283,279.4035931,523.2827791,802.6863722
Alaska,739795,267,325,36.09107929,43.93108902,80.02216831,0.000360911,0.000439311,360.9107929,439.3108902,800.221683
Nevada,2998039,858,1440,28.61870709,48.03139652,76.65010361,0.000286187,0.000480314,286.1870709,480.3139652,766.5010362
Arkansas,3004279,773,1347,25.72996716,44.83604885,70.56601601,0.0002573,0.00044836,257.2996716,448.3604885,705.6601601
Ohio,11658609,2508,5703,21.51200027,48.91664177,70.42864204,0.00021512,0.000489166,215.1200027,489.1664177,704.2864204
Indiana,6666818,1608,2956,24.11945249,44.3389935,68.45844599,0.000241195,0.00044339,241.1945249,443.389935,684.5844599
North Carolina,10273419,2225,4629,21.65783368,45.05802791,66.71586159,0.000216578,0.00045058,216.5783368,450.5802791,667.1586158
Kentucky,4454189,1066,1894,23.93252734,42.52176996,66.4542973,0.000239325,0.000425218,239.3252734,425.2176996,664.5429729
Oklahoma,3930864,941,1550,23.93875748,39.43153464,63.37029212,0.000239388,0.000394315,239.3875748,394.3153464,633.7029213
Georgia,10429379,2456,4056,23.54886135,38.8901391,62.43900045,0.000235489,0.000388901,235.4886135,388.901391,624.3900044
Virginia,8470020,1459,3566,17.2254611,42.10143542,59.32689652,0.000172255,0.000421014,172.254611,421.0143542,593.2689651
Pennsylvania,12805537,2395,5056,18.70284706,39.48292055,58.18576761,0.000187028,0.000394829,187.0284706,394.8292055,581.8576761
West Virginia,1815857,335,649,18.44858929,35.74069985,54.18928914,0.000184486,0.000357407,184.4858929,357.4069985,541.8928913
Florida,20984400,3909,7072,18.62812375,33.70122567,52.32934942,0.000186281,0.000337012,186.2812375,337.0122567,523.2934942
Wisconsin,5795483,862,2117,14.87365246,36.5284481,51.40210056,0.000148737,0.000365284,148.7365246,365.284481,514.0210057
Kansas,2913123,542,931,18.60546225,31.95882906,50.56429131,0.000186055,0.000319588,186.0546225,319.5882906,505.6429131
New Mexico,2088070,495,543,23.70610181,26.00487532,49.71097713,0.000237061,0.000260049,237.0610181,260.0487532,497.1097712
Nebraska,1920076,225,674,11.71828615,35.10277718,46.82106333,0.000117183,0.000351028,117.1828615,351.0277718,468.2106333
