,state,city,city_state,n_killed,n_injured,population,killed_normalized,injured_normalized,kill_million,injured_million,total
3524,Colorado,Guffey,"Guffey, Colorado",2,1,10,0.2,0.1,200000,100000,300000
16042,New Mexico,La Madera,"La Madera, New Mexico",5,0,25,0.2,0,200000,0,200000
16187,New Mexico,San Antonio,"San Antonio, New Mexico",0,2,11,0,0.181818182,0,181818.1818,181818.1818
1270,Arizona,Tonopah,"Tonopah, Arizona",7,3,59,0.118644068,0.050847458,118644.0678,50847.45763,169491.5254
72,Alabama,Bucks,"Bucks, Alabama",1,1,13,0.076923077,0.076923077,76923.07692,76923.07692,153846.1538
3665,Colorado,Peyton,"Peyton, Colorado",1,1,17,0.058823529,0.058823529,58823.52941,58823.52941,117647.0588
3434,Colorado,Cotopaxi,"Cotopaxi, Colorado",0,1,9,0,0.111111111,0,111111.1111,111111.1111
10932,Maryland,Little Orleans,"Little Orleans, Maryland",1,2,35,0.028571429,0.057142857,28571.42857,57142.85714,85714.28571
1771,Arkansas,Scott,"Scott, Arkansas",1,1,24,0.041666667,0.041666667,41666.66667,41666.66667,83333.33333
17650,North Carolina,Orrum,"Orrum, North Carolina",2,5,87,0.022988506,0.057471264,22988.50575,57471.26437,80459.77011
17553,North Carolina,Lumber Bridge,"Lumber Bridge, North Carolina",7,0,88,0.079545455,0,79545.45455,0,79545.45455
17964,North Dakota,Cayuga,"Cayuga, North Dakota",0,2,26,0,0.076923077,0,76923.07692,76923.07692
21929,Pennsylvania,Smicksburg,"Smicksburg, Pennsylvania",2,1,43,0.046511628,0.023255814,46511.62791,23255.81395,69767.44186
21228,Pennsylvania,Homewood,"Homewood, Pennsylvania",4,3,105,0.038095238,0.028571429,38095.2381,28571.42857,66666.66667
3775,Colorado,Weston,"Weston, Colorado",2,0,32,0.0625,0,62500,0,62500
125,Alabama,Cusseta,"Cusseta, Alabama",4,3,124,0.032258065,0.024193548,32258.06452,24193.54839,56451.6129
17236,North Carolina,Bolivia,"Bolivia, North Carolina",2,6,154,0.012987013,0.038961039,12987.01299,38961.03896,51948.05195
24147,Texas,El Indio,"El Indio, Texas",1,0,21,0.047619048,0,47619.04762,0,47619.04762
9631,Kentucky,Blaine,"Blaine, Kentucky",2,0,46,0.043478261,0,43478.26087,0,43478.26087
5425,Georgia,Talking Rock,"Talking Rock, Georgia",1,2,71,0.014084507,0.028169014,14084.50704,28169.01408,42253.52113
7544,Indiana,Laconia,"Laconia, Indiana",2,0,51,0.039215686,0,39215.68627,0,39215.68627
1884,California,Alderpoint,"Alderpoint, California",3,3,156,0.019230769,0.019230769,19230.76923,19230.76923,38461.53846
538,Alabama,Union Grove,"Union Grove, Alabama",1,2,79,0.012658228,0.025316456,12658.22785,25316.4557,37974.68354
14438,Montana,Klein,"Klein, Montana",0,2,53,0,0.037735849,0,37735.84906,37735.84906
17543,North Carolina,Linden,"Linden, North Carolina",3,2,133,0.022556391,0.015037594,22556.39098,15037.59398,37593.98496
6318,Illinois,Fults,"Fults, Illinois",1,0,28,0.035714286,0,35714.28571,0,35714.28571
13256,Missouri,Annada,"Annada, Missouri",1,0,28,0.035714286,0,35714.28571,0,35714.28571
4012,Florida,Bascom,"Bascom, Florida",1,1,115,0.008695652,0.008695652,8695.652174,8695.652174,17391.30435
22618,South Carolina,Eutawville,"Eutawville, South Carolina",6,4,290,0.020689655,0.013793103,20689.65517,13793.10345,34482.75862
849,Alaska,Skwentna,"Skwentna, Alaska",1,0,29,0.034482759,0,34482.75862,0,34482.75862
22835,South Carolina,Smoaks,"Smoaks, South Carolina",0,4,118,0,0.033898305,0,33898.30508,33898.30508
5212,Georgia,Lithonia,"Lithonia, Georgia",44,33,2331,0.018876019,0.014157014,18876.01888,14157.01416,33033.03303
17265,North Carolina,Cameron,"Cameron, North Carolina",3,8,341,0.008797654,0.023460411,8797.653959,23460.41056,32258.06452
19548,Oklahoma,Bison,"Bison, Oklahoma",0,1,32,0,0.03125,0,31250,31250
669,Alaska,Excursion Inlet,"Excursion Inlet, Alaska",1,0,32,0.03125,0,31250,0,31250
915,Arizona,Amado,"Amado, Arizona",0,1,33,0,0.03030303,0,30303.0303,30303.0303
13232,Mississippi,Winstonville,"Winstonville, Mississippi",0,5,167,0,0.02994012,0,29940.11976,29940.11976
3238,California,Valley Ford,"Valley Ford, California",1,0,34,0.029411765,0,29411.76471,0,29411.76471
23047,South Dakota,Geddes,"Geddes, South Dakota",6,0,207,0.028985507,0,28985.50725,0,28985.50725
14511,Montana,Reserve,"Reserve, Montana",0,1,35,0,0.028571429,0,28571.42857,28571.42857
13130,Mississippi,Pope,"Pope, Mississippi",3,4,248,0.012096774,0.016129032,12096.77419,16129.03226,28225.80645
18706,Ohio,Graysville,"Graysville, Ohio",1,1,72,0.013888889,0.013888889,13888.88889,13888.88889,27777.77778
26007,Virginia,Hanover,"Hanover, Virginia",1,5,223,0.004484305,0.022421525,4484.304933,22421.52466,26905.8296
19224,Ohio,Rogers,"Rogers, Ohio",4,2,224,0.017857143,0.008928571,17857.14286,8928.571429,26785.71429
22850,South Carolina,Starr,"Starr, South Carolina",2,3,190,0.010526316,0.015789474,10526.31579,15789.47368,26315.78947
6618,Illinois,Manchester,"Manchester, Illinois",6,1,269,0.022304833,0.003717472,22304.83271,3717.472119,26022.30483
26817,Washington,Roosevelt,"Roosevelt, Washington",1,2,117,0.008547009,0.017094017,8547.008547,17094.01709,25641.02564
9636,Kentucky,Booneville,"Booneville, Kentucky",2,2,158,0.012658228,0.012658228,12658.22785,12658.22785,25316.4557
11119,Maryland,Upper Marlboro,"Upper Marlboro, Maryland",10,7,673,0.014858841,0.010401189,14858.84101,10401.18871,25260.02972
14127,Missouri,Stoutsville,"Stoutsville, Missouri",1,0,40,0.025,0,25000,0,25000
25925,Virginia,Duffield,"Duffield, Virginia",2,0,83,0.024096386,0,24096.38554,0,24096.38554
22886,South Carolina,Warrenville,"Warrenville, South Carolina",7,15,915,0.007650273,0.016393443,7650.273224,16393.44262,24043.71585
398,Alabama,Orrville,"Orrville, Alabama",1,3,168,0.005952381,0.017857143,5952.380952,17857.14286,23809.52381
3375,Colorado,Black Hawk,"Black Hawk, Colorado",2,1,128,0.015625,0.0078125,15625,7812.5,23437.5
13233,Mississippi,Woodland,"Woodland, Mississippi",3,0,129,0.023255814,0,23255.81395,0,23255.81395
27352,West Virginia,Whitmer,"Whitmer, West Virginia",0,1,44,0,0.022727273,0,22727.27273,22727.27273
26148,Virginia,New Church,"New Church, Virginia",1,1,93,0.010752688,0.010752688,10752.68817,10752.68817,21505.37634
200,Alabama,Gaylesville,"Gaylesville, Alabama",1,2,141,0.007092199,0.014184397,7092.198582,14184.39716,21276.59574
27789,Wisconsin,Mason,"Mason, Wisconsin",2,0,94,0.021276596,0,21276.59574,0,21276.59574
13126,Mississippi,Pittsboro,"Pittsboro, Mississippi",2,2,192,0.010416667,0.010416667,10416.66667,10416.66667,20833.33333
9506,Kansas,Sun City,"Sun City, Kansas",1,0,48,0.020833333,0,20833.33333,0,20833.33333
27056,West Virginia,Crum,"Crum, West Virginia",1,0,48,0.020833333,0,20833.33333,0,20833.33333
3944,Delaware,Magnolia,"Magnolia, Delaware",2,4,289,0.006920415,0.01384083,6920.415225,13840.83045,20761.24567
27148,West Virginia,Iaeger,"Iaeger, West Virginia",5,0,242,0.020661157,0,20661.15702,0,20661.15702
6233,Illinois,Eddyville,"Eddyville, Illinois",1,1,98,0.010204082,0.010204082,10204.08163,10204.08163,20408.16327
20125,Oklahoma,Swink,"Swink, Oklahoma",1,0,50,0.02,0,20000,0,20000
5164,Georgia,Hull,"Hull, Georgia",1,3,201,0.004975124,0.014925373,4975.124378,14925.37313,19900.49751
12905,Mississippi,Bogue Chitto,"Bogue Chitto, Mississippi",10,1,553,0.018083183,0.001808318,18083.18264,1808.318264,19891.5009
1628,Arkansas,Lonsdale,"Lonsdale, Arkansas",1,1,101,0.00990099,0.00990099,9900.990099,9900.990099,19801.9802
3398,Colorado,Capulin,"Capulin, Colorado",3,1,202,0.014851485,0.004950495,14851.48515,4950.49505,19801.9802
25161,Texas,Spring Branch,"Spring Branch, Texas",3,2,254,0.011811024,0.007874016,11811.02362,7874.015748,19685.03937
9943,Kentucky,New Hope,"New Hope, Kentucky",0,2,103,0,0.019417476,0,19417.47573,19417.47573
8572,Iowa,Nodaway,"Nodaway, Iowa",1,1,103,0.009708738,0.009708738,9708.737864,9708.737864,19417.47573
2753,California,Moss Landing,"Moss Landing, California",0,1,54,0,0.018518519,0,18518.51852,18518.51852
11135,Maryland,Whaleyville,"Whaleyville, Maryland",0,1,55,0,0.018181818,0,18181.81818,18181.81818
26173,Virginia,Painter,"Painter, Virginia",0,4,224,0,0.017857143,0,17857.14286,17857.14286
1559,Arkansas,Hensley,"Hensley, Arkansas",1,0,56,0.017857143,0,17857.14286,0,17857.14286
9351,Kansas,Nashville,"Nashville, Kansas",1,0,57,0.01754386,0,17543.85965,0,17543.85965
2463,California,Hyampom,"Hyampom, California",2,0,115,0.017391304,0,17391.30435,0,17391.30435
14576,Montana,Trout Creek,"Trout Creek, Montana",2,1,178,0.011235955,0.005617978,11235.95506,5617.977528,16853.93258
26969,West Virginia,Apple Grove,"Apple Grove, West Virginia",0,1,60,0,0.016666667,0,16666.66667,16666.66667
5127,Georgia,Greenville,"Greenville, Georgia",3,11,845,0.003550296,0.013017751,3550.295858,13017.75148,16568.04734
14232,Missouri,Whitewater,"Whitewater, Missouri",1,1,122,0.008196721,0.008196721,8196.721311,8196.721311,16393.44262
24018,Texas,Concepcion,"Concepcion, Texas",1,0,61,0.016393443,0,16393.44262,0,16393.44262
4023,Florida,Bell,"Bell, Florida",8,0,498,0.016064257,0,16064.25703,0,16064.25703
23347,Tennessee,Cedar Hill,"Cedar Hill, Tennessee",3,2,312,0.009615385,0.006410256,9615.384615,6410.25641,16025.64103
5409,Georgia,Stone Mountain,"Stone Mountain, Georgia",55,45,6281,0.008756567,0.007164464,8756.567426,7164.464257,15921.03168
20748,Pennsylvania,Braddock,"Braddock, Pennsylvania",5,28,2105,0.002375297,0.013301663,2375.296912,13301.66271,15676.95962
1566,Arkansas,Hindsville,"Hindsville, Arkansas",1,0,65,0.015384615,0,15384.61538,0,15384.61538
21604,Pennsylvania,New Ringgold,"New Ringgold, Pennsylvania",3,1,262,0.011450382,0.003816794,11450.38168,3816.793893,15267.17557
20860,Pennsylvania,Coal Center,"Coal Center, Pennsylvania",2,0,131,0.015267176,0,15267.17557,0,15267.17557
22717,South Carolina,Loris,"Loris, South Carolina",13,29,2761,0.004708439,0.010503441,4708.438971,10503.44078,15211.87975
3705,Colorado,Sedalia,"Sedalia, Colorado",1,1,133,0.007518797,0.007518797,7518.796992,7518.796992,15037.59398
21568,Pennsylvania,Needmore,"Needmore, Pennsylvania",2,0,133,0.015037594,0,15037.59398,0,15037.59398
22825,South Carolina,Sellers,"Sellers, South Carolina",0,3,200,0,0.015,0,15000,15000
5668,Idaho,Blanchard,"Blanchard, Idaho",0,3,201,0,0.014925373,0,14925.37313,14925.37313
811,Alaska,Platinum,"Platinum, Alaska",1,0,67,0.014925373,0,14925.37313,0,14925.37313
3453,Colorado,Divide,"Divide, Colorado",1,0,67,0.014925373,0,14925.37313,0,14925.37313
9153,Kansas,Grantville,"Grantville, Kansas",3,0,201,0.014925373,0,14925.37313,0,14925.37313
2474,California,Industry,"Industry, California",0,3,202,0,0.014851485,0,14851.48515,14851.48515
1871,California,Acampo,"Acampo, California",1,2,204,0.004901961,0.009803922,4901.960784,9803.921569,14705.88235
