state,n_injured,population,adj_injuries
Alabama,2998,4874747,61.50062762231558
Alaska,325,739795,43.93108901790361
Arizona,1096,7016270,15.62083557217724
Arkansas,1347,3004279,44.83604884899172
California,7644,39536653,19.333958289286652
Colorado,1133,5607154,20.206329271498518
Connecticut,1258,3588184,35.05951757212005
Delaware,853,961939,88.67506151637474
District of Columbia,1415,693972,203.89871637472405
Florida,7072,20984400,33.70122567240426
Georgia,4056,10429379,38.89013909648887
Hawaii,85,1427538,5.9543073459340485
Idaho,149,1716943,8.678214710680551
Illinois,13514,12802023,105.56144134407506
Indiana,2956,6666818,44.33899350484744
Iowa,821,3145711,26.09902816883051
Kansas,931,2913123,31.958829064203602
Kentucky,1894,4454189,42.5217699563265
Louisiana,4398,4684333,93.88743285330057
Maine,132,1335907,9.88092734000196
Maryland,3167,6052177,52.32827790727204
Massachusetts,1701,6859819,24.796572620939415
Michigan,2990,9962311,30.0131164345301
Minnesota,916,5576606,16.425761475707624
Mississippi,1883,2984100,63.1011025099695
Missouri,3585,6113532,58.64040623325437
Montana,136,1050493,12.9463023551799
Nebraska,674,1920076,35.102777181736556
Nevada,1440,2998039,48.03139652286044
New Hampshire,144,1342795,10.723900520928362
New Jersey,2540,9005644,28.204534845037177
New Mexico,543,2088070,26.004875315482717
New York,5059,19849399,25.486917765117223
North Carolina,4629,10273419,45.05802790677573
North Dakota,130,755393,17.209584944525567
Ohio,5703,11658609,48.916641770900796
Oklahoma,1550,3930864,39.431534644800735
Oregon,694,4142776,16.752052247092287
Pennsylvania,5056,12805537,39.48292055225798
Rhode Island,346,1059639,32.65262981071856
South Carolina,3084,5024369,61.380842052006926
South Dakota,114,869666,13.108480727083732
Tennessee,4478,6715984,66.67675205896857
Texas,6106,28304596,21.57246830161434
Utah,402,3101833,12.960078766329456
Vermont,73,623657,11.705152030683532
Virginia,3566,8470020,42.101435415736916
Washington,1287,7405743,17.378404840675675
West Virginia,649,1815857,35.740699845857904
Wisconsin,2117,5795483,36.528448103462644
Wyoming,52,579315,8.976118346668047
