state,n_killed,population,adj_killings
Alabama,1880,4874747,38.566104046015106
Alaska,267,739795,36.09107928547773
Arizona,1094,7016270,15.592330397775457
Arkansas,773,3004279,25.729967156845287
California,5562,39536653,14.067958661042956
Colorado,796,5607154,14.196150132491457
Connecticut,341,3588184,9.503414540614417
Delaware,217,961939,22.558602988339178
District of Columbia,459,693972,66.14099704310837
Florida,3909,20984400,18.62812374907074
Georgia,2456,10429379,23.54886134639464
Hawaii,63,1427538,4.413192503457001
Idaho,166,1716943,9.66834659042263
Illinois,3409,12802023,26.62860393236288
Indiana,1608,6666818,24.11945248842851
Iowa,273,3145711,8.67848317916045
Kansas,542,2913123,18.60546224790371
Kentucky,1066,4454189,23.932527335503725
Louisiana,2179,4684333,46.51676129771304
Maine,112,1335907,8.383817136971361
Maryland,1691,6052177,27.940359312029372
Massachusetts,472,6859819,6.880648017097827
Michigan,1588,9962311,15.940076554526355
Minnesota,461,5576606,8.266676899892158
Mississippi,1176,2984100,39.40886699507389
Missouri,2136,6113532,34.93888639169632
Montana,154,1050493,14.659783549247829
Nebraska,225,1920076,11.718286151173183
Nevada,858,2998039,28.618707094871016
New Hampshire,88,1342795,6.553494762789555
New Jersey,1168,9005644,12.969644369686389
New Mexico,495,2088070,23.70610180693176
New York,1705,19849399,8.589680725345891
North Carolina,2225,10273419,21.657833677376537
North Dakota,69,755393,9.134318162863568
Ohio,2508,11658609,21.512000273789095
Oklahoma,941,3930864,23.938757484359673
Oregon,446,4142776,10.765728101157292
Pennsylvania,2395,12805537,18.70284705748771
Rhode Island,63,1059639,5.9454210348996215
South Carolina,1610,5024369,32.04382480665731
South Dakota,90,869666,10.348800574013472
Tennessee,1824,6715984,27.159087931120737
Texas,5046,28304596,17.827493457246305
Utah,282,3101833,9.091398537574396
Vermont,57,623657,9.139639256835087
Virginia,1459,8470020,17.225461096904137
Washington,853,7405743,11.518088056795921
West Virginia,335,1815857,18.448589288693988
Wisconsin,862,5795483,14.873652463478885
Wyoming,73,579315,12.601089217437837
